"id"	"titre"	"chaine"	"publiee"	"duree"	"vues"
"606RfUUgzx4"	"You're Tony Stark Coding Jarvis (Playlist For Programmers)"	"Coding Eagle"	"2023-12-10"	"PT1H11S"	"602455"
"h9Z4oGN89MU"	"How do Graphics Cards Work?  Exploring GPU Architecture"	"Branch Education"	"2024-10-19"	"PT28M30S"	"7574894"
"16zrEPOsIcI"	"The Engineering that Runs the Digital World 🛠️⚙️💻 How do CPUs Work?"	"Branch Education"	"2025-11-15"	"PT36M23S"	"3142331"
"FjuTI6ZTitU"	"How AI Chips Are Made in Atomic Precision – Smaller Than a Virus | THE MAKING"	"THE MAKING"	"2025-07-01"	"PT6M59S"	"34011"
"5Mh3o886qpg"	"How do SSDs Work? | How does your Smartphone store data? |  Insanely Complex Nanoscopic Structures!"	"Branch Education"	"2020-05-08"	"PT17M55S"	"6371404"
"cz1nExPiD5A"	"How Does a MicroSD Card Hold So Much Data?"	"The Study Hub! 🔬"	"2026-08-23"	"PT5M18S"	"653"
"x9UkJopjNBY"	"Every Storage Device Explained in  Minutes | HDD, SSD, Cloud & More!"	"The Study Hub! 🔬"	"2026-06-24"	"PT5M48S"	"322"
"C8YtdC8mxTU"	"How do Video Game Graphics Work?"	"Branch Education"	"2023-12-21"	"PT21M"	"5397531"
"jn6E2hiFxWI"	"How Global Satellite Internet Works | Starlink Explained"	"Code Matrix"	"2026-06-17"	"PT5M27S"	"332"
"DK7hVtPD1JQ"	"Cinéma en Français - Iron Man (2008) - Scène Culte N°6 # Démonstration avec deux F-22 Raptors"	"Vidéos Annonces"	"2020-12-27"	"PT3M52S"	"144671"
"NiQTs9DbtW4"	"What is DNS? (and how it makes the Internet work)"	"NetworkChuck"	"2024-08-28"	"PT24M22S"	"902544"
"LlGkeaerdsk"	"Ma vision de l'avenir (et elle ne va pas vous plaire)"	"Grand Angle"	"2026-09-20"	"PT42M40S"	"165257"
"gMlgsXOP4wg"	"La pire décision d’Elon Musk (L'histoire d'OpenAI)"	"Recrut LAB by Laurent Garilhe"	"2026-09-17"	"PT11M51S"	"875"
"qtWP3CXSYUU"	"Cinéma en Français - Iron Man (2008) - Scène Culte N°1 # Le Docteur Maboul (1080p)"	"Vidéos Annonces"	"2020-12-25"	"PT3M20S"	"42787"
"a30jl5ZXlsM"	"Fable 5.2 Just Embarrassed GPT-6 Astra"	"AI Revolution"	"2026-09-21"	"PT14M43S"	"84724"
"DjHSRCdQ5Sw"	"Cinéma en Français - Iron Man (2008) - Scène Culte N°4 # Machine de rodage (Machine Learning Man)"	"Vidéos Annonces"	"2020-12-26"	"PT4M"	"47297"
"5xB_lZS0FtY"	"Evolution of Iron Man Suits | 3D Comparison (Mark 1 to 85)"	"Dataverse 3D"	"2025-06-05"	"PT6M9S"	"2121948"
